OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
1,D0148,FERNY GROVE PICNIC GROUND PARK,B-RE-1750,1233,SAMFORD ROAD,FERNY GROVE,4055,152.939007062854,-27.4028161548771,1154.88643066004,42151.0266526082
2,D0149,HEINER PARK,B-RE-1749,170,BLAKER ROAD,KEPERRA,4054,152.96601045196,-27.4051255305089,844.210868894377,42832.5291942814
3,D0150,UPPER KEDRON RECREATION RESERVE,B-RE-1748,179,CEMETERY ROAD,UPPER KEDRON,4055,152.923158430298,-27.4115744383412,1932.52985348544,99295.5565642963
4,D0151,OXFORD GROVE PARK,B-RE-1747,247,DAWSON PARADE,KEPERRA,4054,152.964068653242,-27.3984255353646,1936.74451815996,74148.6792944325
5,D0152,THE WOODS MEMORIAL PLAYGROUND PARK,B-RE-1746,120,ROYAL PARADE,ASHGROVE,4060,152.971151022673,-27.4471484956755,860.634987657938,17067.2046234123
6,D0153,ROYAL PARADE PARK (NO. 16-70),B-RE-1745,22,ROYAL PARADE,ASHGROVE,4060,152.975292137,-27.4456023829999,991.834093820831,19593.2033481008
7,D0154,MIRRABOOKA ROAD PARK,B-RE-1744,110,FRASERS ROAD,ASHGROVE,4060,152.982171616199,-27.4388171627704,867.37872317532,12060.6608000837
8,D0155,CORRAMULLING PARK,B-RE-1743,98,YOORALA STREET,THE GAP,4061,152.936638413,-27.4495650379999,3278.93363458482,56503.6700211574
9,D0156,GROVELY SPORTSGROUND PARK,B-RE-1742,32,HANRAN STREET,KEPERRA,4054,152.958911178714,-27.4029985155943,2192.04075773626,70699.2254896357
10,D0157,JURAYELBA PLACE PARK,B-RE-1741,68,KANE STREET,KEPERRA,4054,152.960657557533,-27.4076641346273,382.78557272622,7010.92303590611
11,D0158,FIHELLY STREET PARK,B-RE-1740,97,FIHELLY STREET,KEPERRA,4054,152.960364675804,-27.4063301684814,1341.23056573578,30803.3923956193
