Waterway,BCC Site Code,Stream Order,Location,Elevation (m AHD),Dist to Sea (km),Catchment,Suburb,Latitude,Longitude,Year we started to use this site (new coordinates),Year we stopped using this site
Albany Creek,AC01,3,Fred Campbell Drive,41,18,South Pine,Bridgeman Downs,-27.3536,152.98129,,
Enoggera Ck,B01,4,Riawena Rd,43,35,Enoggera Ck,The Gap ,-27.4439,152.9412,,
Fish Ck,B02,3,Solferino Place (Bromwich St),48,35,Enoggera Ck,The Gap ,-27.4391,152.9382,,
Enoggera Ck,B03,4,Walton Bridge,31,32,Enoggera Ck,The Gap ,-27.4444,152.955,,
Enoggera Ck,B04,4,Greenlanes Rd,21,31,Enoggera Ck,Ashgrove,-27.4467,152.9689,,
Enoggera Ck,B05,4,Tennis Ave,5,23,Enoggera Ck,Ashgrove,-27.4437,153.0011,,
Enogerra Creek,B07,4,Bishop Street,6,22,Enogerra Creek,Kelvin Grove,-27.44271,153.0084,,
Unnamed Ck,B201,1,Glenwood St,6,0.3,Brisbane River Precinct 2,Chelmer,-27.5125,152.9775,,
Bulimba Creek,BCT01,1,Parklane Place,31,40,Bulimba Creek,Calamvale,-27.57388,153.10949,,
Bulimba Creek,BCT02,1,Kookaburra Circuit,33,38,Bulimba Creek,Wishart,-27.56501,153.1108,,
Bulimba Creek,BCT03,1,Gaffney Street,14,31,Bulimba Creek,Carina Heights,-27.50251,153.09634,,
Bullockhead Creek,BHC01,2,Considine Street,33,72,Oxley Creek,Ellen Grove,-27.61426,152.94624,,
Bulimba Ck,BM01,4,Mothar St,36,43,Bulimba Ck,8 Mile Plains,-27.5776,153.0755,,
Bulimba Ck,BM02,4,Delavan St,24,40,Bulimba Ck,Wishart,-27.5628,153.096,,
Tributary of Bulimba Ck,BM03,3,Cribb Rd,20,32,Bulimba Ck,Carindale,-27.5268,153.1207,,
Bulimba Creek,BM05,2,Pacific Motorway,35,41,Bulimba Creek,Eightmile Plains,-27.58094,153.10191,,
Bulimba Ck,BMN01,4,Meadowbank St,6,30,Bulimba Ck,Carindale,-27.5142,153.1084,2017,
Bulimba Ck,BMN02,3,Banika St,12,35,Bulimba Ck,Mansfield,-27.5392,153.1111,,
Bluestone Ck,BR01,2,Allawah Rd,12,95,Brisbane River Precinct 1,Mt Crosby,-27.5386,152.7777,,
Unknown,BR02,2,BCC property/ Mt Crosby Water Treatment,17,95,Brisbane River Precinct 1,Chuwar,-27.5355,152.7726,,
Kholo Creek,BRN01,1,Wirrabara Road,19,81,Brisbane River,Moggill,-27.53222,152.85292,,
Kholo Creek,BRN02,2,Kanangra Court,19,84,Brisbane R,Karana Downs,-27.54068,152.8233,,
Cabbage Tree Ck,C01,4,Beams Rd,9,10,Cabbage Tree Ck,Taigum,-27.3519,153.0337,2017,
Cabbage Tree Ck,C02,3,Sellers Pl,36,18,Cabbage Tree Ck,McDowall,-27.375,152.9867,,
Cubberla Ck,CB01,3,Cubberla Ck Reserve (Sutling St),16,49,Cubberla Ck,Chapel Hill,-27.5098,152.9507,,
Cambridge Ck,CN01,3,Cambridge Ck,3,8,Cabbage Tree Ck,Fitzgibbon,-27.3371,153.0405,,
England Creek,EC01,3,England Creek Road,54,144,Brisbane River,Wivenhoe,-27.39529,152.6691,,
Jindalee Ck,J01,3,Capitol Dr,3,53,Jindalee Ck,Darra,-27.5392,152.9449,,
Jindalee Ck,J02,3,Edenbrook Dr,12,56,Jindalee Ck,Darra,-27.5548,152.9529,,
Trib Kedron Brook,K01,3,Camoola St,49,28,Kedron Brook,Ferny Hills,-27.4107,152.9445,,
Kedron Brook,K02,4,Grovely Sports Ground,43,27,Kedron Brook,Keperra,-27.404,152.9576,,
Kedron Brook,K03,4,Burwood Road,26,22,Kedron Brook,Enoggera,-27.4102,152.9859,,
Kedron Brook,K04,4,Kalinga Park,4,12,Kedron Brook,Clayfield,-27.405,153.0512,,2022
Kedron Brook,K04,4,Kalinga Park,4,12,Kedron Brook,Clayfield,-27.40499115,153.0512238,2022,
Camerons Ck,KH01,3,Banksia Drive (Platypus Pk),49,87,Kholo Creek,Karana Downs,-27.524,152.8179,,2022
Camerons Ck,KH01,3,Banksia Drive (Platypus Pk),52,87,Kholo Creek,Karana Downs,-27.52398682,152.8178711,2022,
Kholo Ck,KH02,1,Lake Manchester Dve,75,95,Kholo Creek,Mt Crosby,-27.5015,152.817,,
Kholo Ck,KHN1,4,Wirrabara Rd,19,76,Kholo Creek,Mt Crosby,-27.526,152.8473,,2022
Kholo Ck,KHN2,3,Bunya St,21,84,Kholo Creek,Mt Crosby,-27.522481,152.84124,2022,
Lota Ck,LT01,3,Rickertt Rd,2,4,Lota Ck,Wakerley,-27.4859,153.1723,,
Tributary of Lota Ck,LT02,1,Tilley Rd,3,4,Lota Ck,Wakerley,-27.4825,153.1648,,
Gold Creek,M01,3,Jones Rd,46,68,Moggill Creek,Brookfield,-27.4687,152.9097,,
Mimosa Creek,MC01,1,Ring Road,85,47,Bulimba Creek,Nathan,-27.55038,153.05476,,
Mimosa Creek,MC02,2,Springfield Street,40,42,Bulimba Creek,Macgregor,-27.56996,153.07454,,
Moggill Creek,MN01,4,Kilkivan Ave,6,57,Moggill Creek,Kenmore,-27.513,152.9281,2017,
Moggill Creek,MN02,3,901 Upper Brookfield Road,117,76,Moggill Creek,Upper Brookfield,-27.4726,152.8351,,
Unnamed Ck,MO01,1,Horizon Dr (Peter Lightfoot Oval),7,56,Mt Ommaney Ck,Middle Park,-27.5502,152.9215,,
Mt Ommaney Ck,MO02,2,Dandenong Rd,12,58,Mt Ommaney Ck,Mt Ommaney,-27.5487,152.9355,,
Downfall Ck,N01,3,Viney St (Raven St Reserve),28,18,Nundah Ck,Stafford Heights,-27.389,153.0061,,
Downfall Ck,N02,3,Brentwick St,18,15,Nundah Ck,Chermside,-27.3795,153.0264,,
Zillman Waterwholes,N03,2,Parthenia St (Frank Sleeman Park),1,11,Nundah Ck,Boondall,-27.3614,153.0566,,
Kholo Creek,NKC,3,Sheep Camp Road,45,85,Kholo Creek,Kholo,-27.5166,152.8284,,
Bridgewater Ck,NM01,1,Wembley Park,2,23,Norman Ck,Camp Hill,-27.4914,153.0635,,
